rms_value,rms_avg,rms_std,is_day,weather_type,sound_category
5,5.0,0.0,día,soleado,Ambiente tranquilo
5,5.0,0.0,día,parcialmente nublado,Ambiente tranquilo
3,4.333333333333333,1.1547005383792515,noche,parcialmente nublado,Ambiente tranquilo
5,4.5,0.9999999999999999,día,soleado,Ambiente tranquilo
19,7.4,6.54217089351845,día,parcialmente nublado,Ambiente tranquilo
12,8.166666666666666,6.145459028149701,día,soleado,Ambiente tranquilo
23,10.285714285714286,7.931252228038262,día,parcialmente nublado,Ambiente tranquilo
5,9.625,7.576985831167581,día,parcialmente nublado,Ambiente tranquilo
3,8.88888888888889,7.423685817106696,día,parcialmente nublado,Ambiente tranquilo
3,8.3,7.242620765686655,día,parcialmente nublado,Ambiente tranquilo
2,8.0,7.453559924999299,día,soleado,Ambiente tranquilo
7,8.2,7.390684827688313,día,soleado,Ambiente tranquilo
4,8.3,7.318925239860472,día,soleado,Ambiente tranquilo
7,8.5,7.245688373094719,día,soleado,Ambiente tranquilo
26,9.2,8.58681159297986,día,soleado,Ambiente tranquilo
17,9.7,8.90754985641082,día,soleado,Ambiente tranquilo
4,7.8,7.699927849589818,día,parcialmente nublado,Ambiente tranquilo
8,8.1,7.63689873065122,día,parcialmente nublado,Ambiente tranquilo
5,8.3,7.513691207093591,día,soleado,Ambiente tranquilo
3,8.3,7.513691207093591,día,parcialmente nublado,Ambiente tranquilo
10,9.1,7.187179944564873,día,parcialmente nublado,Ambiente tranquilo
6,9.0,7.226494462892932,día,parcialmente nublado,Ambiente tranquilo
25,11.1,8.543353491977776,día,parcialmente nublado,Ambiente tranquilo
25,12.9,9.433392225964573,día,parcialmente nublado,Ambiente tranquilo
25,12.8,9.283198682446569,noche,parcialmente nublado,Ambiente tranquilo
18,12.9,9.338688939626968,noche,soleado,Ambiente tranquilo
9,13.4,8.934328302800505,día,soleado,Ambiente tranquilo
12,13.8,8.753412033157252,día,parcialmente nublado,Ambiente tranquilo
7,14.0,8.550503558920436,día,soleado,Ambiente tranquilo
19,15.6,7.720103626247509,día,soleado,Ambiente tranquilo
10,15.6,7.720103626247509,día,parcialmente nublado,Ambiente tranquilo
16,16.6,6.947421584060276,día,parcialmente nublado,Ambiente tranquilo
27,16.8,7.238784428341538,día,soleado,Ambiente tranquilo
8,15.1,7.093815773067564,día,soleado,Ambiente tranquilo
4,13.0,6.94422221866655,día,parcialmente nublado,Ambiente tranquilo
4,11.6,7.229568912920509,día,soleado,Ambiente tranquilo
4,11.1,7.593125545883956,día,parcialmente nublado,Ambiente tranquilo
6,10.5,7.749551958375112,día,parcialmente nublado,Ambiente tranquilo
5,10.3,7.87471339866481,día,soleado,Ambiente tranquilo
10,9.4,7.260241808033056,día,soleado,Ambiente tranquilo
5,8.9,7.385421074281712,día,soleado,Ambiente tranquilo
3,7.6,7.136759301905406,día,soleado,Ambiente tranquilo
